# Size  FLOAT_C  FLOAT_SSE2  BIT_C  BIT_SSE2  SIGN_C  SIGN_SSE2 
 1000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  2000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  3000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  4000  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  
  5000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  6000  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  
  7000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  8000  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  
  9000  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  
  10000  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  
  11000  0.000000  0.000000  0.000000  0.000000  0.000000  0.010000  
  12000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  13000  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  
  14000  0.000000  0.010000  0.000000  0.000000  0.000000  0.000000  
  15000  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  
  16000  0.010000  0.000000  0.000000  0.000000  0.010000  0.000000  
  17000  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  
  18000  0.010000  0.000000  0.000000  0.000000  0.010000  0.000000  
  19000  0.010000  0.000000  0.010000  0.000000  0.000000  0.000000  
  20000  0.000000  0.000000  0.000000  0.010000  0.000000  0.010000  
  21000  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  
  22000  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  
  23000  0.000000  0.010000  0.000000  0.000000  0.000000  0.000000  
  24000  0.000000  0.000000  0.000000  0.010000  0.000000  0.010000  
  25000  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  
  26000  0.000000  0.010000  0.010000  0.000000  0.000000  0.000000  
  27000  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  
  28000  0.010000  0.010000  0.010000  0.000000  0.000000  0.000000  
  29000  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  
  30000  0.000000  0.010000  0.000000  0.010000  0.010000  0.010000  
  31000  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  
  32000  0.010000  0.000000  0.010000  0.000000  0.000000  0.000000  
  33000  0.000000  0.010000  0.010000  0.010000  0.010000  0.010000  
  34000  0.010000  0.010000  0.010000  0.010000  0.010000  0.010000  
  35000  0.010000  0.010000  0.010000  0.000000  0.010000  0.000000  
  36000  0.010000  0.000000  0.000000  0.000000  0.000000  0.010000  
  37000  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  
  38000  0.000000  0.010000  0.000000  0.010000  0.010000  0.000000  
  39000  0.010000  0.000000  0.010000  0.010000  0.010000  0.010000  
  40000  0.010000  0.010000  0.000000  0.010000  0.010000  0.000000  
  41000  0.020000  0.010000  0.010000  0.010000  0.000000  0.010000  
  42000  0.010000  0.010000  0.010000  0.000000  0.010000  0.010000  
  43000  0.000000  0.010000  0.010000  0.000000  0.000000  0.010000  
  44000  0.010000  0.020000  0.000000  0.010000  0.010000  0.010000  
  45000  0.010000  0.010000  0.000000  0.010000  0.010000  0.000000  
  46000  0.010000  0.010000  0.000000  0.010000  0.010000  0.000000  
  47000  0.010000  0.010000  0.010000  0.000000  0.010000  0.010000  
  48000  0.010000  0.010000  0.010000  0.010000  0.000000  0.010000  
  49000  0.020000  0.010000  0.000000  0.010000  0.010000  0.010000  
  50000  0.010000  0.010000  0.010000  0.010000  0.010000  0.010000  
 
