# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA_REDUC  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA_REDUC  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA_REDUC  SIGN_CUDA_INV 
 1000  0.000020  0.000020  0.000790  0.000870  0.000010  0.000020  0.000810  0.000900  0.000010  0.000020  0.001090  0.000900  
  2000  0.000050  0.000040  0.000860  0.000980  0.000030  0.000030  0.000920  0.000860  0.000020  0.000030  0.000930  0.000910  
  3000  0.000070  0.000060  0.000960  0.001000  0.000040  0.000040  0.000970  0.000960  0.000040  0.000050  0.000970  0.000900  
  4000  0.000090  0.000090  0.001000  0.000920  0.000050  0.000070  0.000890  0.000870  0.000050  0.000060  0.000950  0.000870  
  5000  0.000110  0.000110  0.000970  0.001010  0.000070  0.000090  0.000930  0.000890  0.000060  0.000080  0.000970  0.000880  
  6000  0.000130  0.000130  0.000980  0.000980  0.000080  0.000090  0.000970  0.000970  0.000080  0.000090  0.000850  0.000940  
  7000  0.000140  0.000150  0.001000  0.000860  0.000100  0.000110  0.000930  0.000930  0.000100  0.000110  0.000910  0.000850  
  8000  0.000170  0.000160  0.001030  0.000990  0.000120  0.000130  0.000980  0.000920  0.000110  0.000130  0.000940  0.000980  
  9000  0.000200  0.000190  0.000900  0.000950  0.000120  0.000140  0.000840  0.000950  0.000120  0.000140  0.000860  0.000900  
  10000  0.000210  0.000210  0.000950  0.000910  0.000140  0.000160  0.000880  0.000900  0.000140  0.000160  0.001030  0.000910  
 
