# Iterator  __FLOAT_NOT_FOUND_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BIT_NOT_FOUND_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __SIGN_NOT_FOUND_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_C_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_SSE2_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_CUDA_REDUC_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_CUDA_INV_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_CUDA_INV_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_CUDA_INV_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_CUDA_INV_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_  __BYTE_CUDA_INV_ET_FUNCTION_WEIGH_UNIFORM_PER_INDIVIDUAL_ 
 1000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  2000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000010  0.000000  
  3000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  4000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  5000  0.000010  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000010  0.000000  
  6000  0.000010  0.000000  0.000000  0.000000  0.000010  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  7000  0.000010  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  8000  0.000010  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  9000  0.000010  0.000010  0.000000  0.000000  0.000000  0.000010  0.000000  0.000000  0.000000  0.000000  0.000000  
  10000  0.000020  0.000000  0.000000  0.000000  0.000010  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
 
