# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA_REDUC  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA_REDUC  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA_REDUC  SIGN_CUDA_INV 
 1000  0.001000  0.000000  0.015000  0.014000  0.004000  0.000000  0.013000  0.015000  0.003000  0.000000  0.015000  0.015000  
  2000  0.003000  0.000000  0.014000  0.014000  0.006000  0.000000  0.015000  0.013000  0.007000  0.000000  0.015000  0.015000  
  3000  0.004000  0.001000  0.014000  0.014000  0.010000  0.000000  0.015000  0.014000  0.010000  0.001000  0.014000  0.014000  
  4000  0.006000  0.000000  0.014000  0.015000  0.012000  0.000000  0.013000  0.015000  0.013000  0.000000  0.014000  0.015000  
  5000  0.007000  0.000000  0.014000  0.030000  0.014000  0.000000  0.014000  0.014000  0.017000  0.000000  0.014000  0.017000  
  6000  0.008000  0.001000  0.014000  0.029000  0.017000  0.000000  0.014000  0.015000  0.020000  0.001000  0.013000  0.013000  
  7000  0.009000  0.001000  0.016000  0.029000  0.021000  0.000000  0.014000  0.016000  0.024000  0.001000  0.014000  0.015000  
  8000  0.011000  0.001000  0.015000  0.028000  0.024000  0.000000  0.014000  0.018000  0.026000  0.001000  0.013000  0.014000  
  9000  0.013000  0.001000  0.014000  0.039000  0.028000  0.000000  0.014000  0.016000  0.032000  0.000000  0.014000  0.015000  
  10000  0.014000  0.002000  0.015000  0.045000  0.029000  0.000000  0.014000  0.013000  0.033000  0.001000  0.013000  0.015000  
 
