# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA_REDUC  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA_REDUC  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA_REDUC  SIGN_CUDA_INV 
 1000  0.005000  0.006000  0.022000  0.032000  0.004000  0.005000  0.026000  0.030000  0.004000  0.006000  0.025000  0.036000  
  2000  0.010000  0.011000  0.033000  0.042000  0.009000  0.010000  0.029000  0.045000  0.009000  0.011000  0.031000  0.044000  
  3000  0.015000  0.016000  0.040000  0.062000  0.014000  0.016000  0.041000  0.062000  0.014000  0.016000  0.036000  0.062000  
  4000  0.019000  0.021000  0.047000  0.072000  0.018000  0.021000  0.043000  0.072000  0.019000  0.021000  0.043000  0.074000  
  5000  0.025000  0.027000  0.053000  0.089000  0.024000  0.026000  0.056000  0.084000  0.023000  0.026000  0.052000  0.086000  
  6000  0.029000  0.032000  0.062000  0.105000  0.028000  0.031000  0.060000  0.103000  0.029000  0.032000  0.059000  0.105000  
  7000  0.034000  0.037000  0.066000  0.113000  0.033000  0.036000  0.064000  0.116000  0.033000  0.037000  0.065000  0.114000  
  8000  0.039000  0.042000  0.071000  0.131000  0.037000  0.041000  0.073000  0.129000  0.037000  0.041000  0.076000  0.128000  
  9000  0.043000  0.047000  0.080000  0.142000  0.042000  0.046000  0.078000  0.143000  0.044000  0.048000  0.079000  0.144000  
  10000  0.049000  0.053000  0.085000  0.157000  0.047000  0.051000  0.086000  0.157000  0.047000  0.052000  0.090000  0.156000  
 
