# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
 100  0.040000  0.050000  1.470000  1.510000  1.570000  0.060000  0.050000  1.460000  1.520000  1.600000  0.040000  0.050000  1.520000  1.490000  1.580000  
  200  0.100000  0.110000  1.540000  1.550000  1.720000  0.100000  0.100000  1.580000  1.550000  1.840000  0.100000  0.110000  1.570000  1.530000  1.790000  
  300  0.140000  0.150000  1.690000  1.660000  1.850000  0.150000  0.160000  1.640000  1.610000  1.830000  0.140000  0.160000  1.720000  1.670000  1.860000  
  400  0.200000  0.210000  1.830000  1.740000  2.020000  0.190000  0.210000  1.760000  1.770000  1.930000  0.200000  0.210000  1.670000  1.690000  2.010000  
  500  0.240000  0.270000  1.850000  1.820000  2.190000  0.230000  0.260000  1.810000  1.850000  2.190000  0.250000  0.270000  1.800000  1.810000  2.230000  
  600  0.300000  0.320000  1.920000  1.920000  2.360000  0.280000  0.310000  1.890000  1.910000  2.250000  0.280000  0.310000  1.880000  1.890000  2.260000  
  700  0.340000  0.380000  1.960000  2.070000  2.400000  0.330000  0.370000  1.970000  1.980000  2.450000  0.330000  0.370000  1.990000  1.980000  2.520000  
  800  0.390000  0.430000  2.030000  2.110000  2.550000  0.380000  0.420000  2.020000  1.970000  2.590000  0.380000  0.420000  2.020000  2.000000  2.590000  
  900  0.440000  0.470000  2.190000  2.150000  2.740000  0.430000  0.470000  2.050000  2.090000  2.700000  0.420000  0.470000  2.120000  2.160000  2.750000  
  1000  0.500000  0.530000  2.200000  2.210000  2.920000  0.480000  0.540000  2.200000  2.190000  2.910000  0.480000  0.530000  2.200000  2.240000  2.930000  
 
