# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
 100  0.000000  0.000000  0.900000  0.800000  0.960000  0.010000  0.000000  0.870000  0.920000  0.880000  0.000000  0.000000  0.920000  0.800000  0.880000  
  200  0.000000  0.000000  0.860000  0.860000  0.950000  0.000000  0.000000  0.850000  0.910000  0.850000  0.010000  0.000000  0.860000  0.920000  0.930000  
  300  0.010000  0.010000  0.850000  0.860000  0.870000  0.000000  0.010000  0.890000  0.870000  0.900000  0.000000  0.010000  0.950000  0.830000  0.930000  
  400  0.010000  0.010000  0.960000  0.900000  0.860000  0.000000  0.010000  0.850000  0.880000  0.820000  0.000000  0.010000  0.820000  0.830000  0.930000  
  500  0.010000  0.020000  1.060000  0.910000  0.940000  0.010000  0.010000  0.880000  0.910000  0.770000  0.010000  0.010000  0.860000  0.770000  0.830000  
  600  0.020000  0.020000  1.020000  1.040000  0.890000  0.010000  0.010000  0.950000  0.930000  0.870000  0.010000  0.000000  0.750000  0.830000  0.860000  
  700  0.010000  0.020000  0.990000  1.090000  1.220000  0.010000  0.010000  0.800000  0.840000  0.860000  0.010000  0.010000  0.870000  0.900000  0.840000  
  800  0.020000  0.020000  0.930000  0.870000  0.940000  0.010000  0.010000  0.910000  1.040000  0.960000  0.010000  0.010000  0.960000  0.780000  0.900000  
  900  0.010000  0.010000  0.930000  1.000000  0.920000  0.010000  0.020000  0.940000  0.760000  0.810000  0.010000  0.010000  0.800000  0.810000  0.910000  
  1000  0.020000  0.020000  1.100000  0.960000  1.070000  0.010000  0.020000  0.860000  0.870000  0.890000  0.010000  0.020000  0.850000  0.890000  0.840000  
 
