# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
 100  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  
  200  0.010000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  
  300  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  0.000000  0.000000  
  400  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.020000  0.000000  0.000000  0.000000  0.000000  0.020000  0.000000  0.000000  0.000000  
  500  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.020000  0.000000  0.000000  0.000000  0.000000  0.020000  0.000000  0.000000  0.000000  
  600  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.030000  0.000000  0.000000  0.000000  0.000000  0.030000  0.000000  0.000000  0.000000  
  700  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.030000  0.000000  0.000000  0.000000  0.000000  0.020000  0.000000  0.000000  0.000000  
  800  0.000000  0.000000  0.000000  0.010000  0.000000  0.000000  0.030000  0.010000  0.000000  0.000000  0.000000  0.030000  0.000000  0.000000  0.000000  
  900  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.040000  0.000000  0.000000  0.000000  0.000000  0.040000  0.000000  0.000000  0.000000  
  1000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.040000  0.000000  0.000000  0.000000  0.000000  0.040000  0.000000  0.000000  0.000000  
  1100  0.000000  0.010000  0.000000  0.000000  0.000000  0.000000  0.050000  0.000000  0.000000  0.000000  0.000000  0.040000  0.000000  0.000000  0.000000  
  1200  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.050000  0.000000  0.000000  0.000000  0.000000  0.040000  0.000000  0.000000  0.000000  
  1300  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.050000  0.000000  0.000000  0.000000  0.000000  0.050000  0.000000  0.000000  0.000000  
  1400  0.000000  0.000000  0.000000  0.000000  0.010000  0.000000  0.050000  0.000000  0.000000  0.000000  0.000000  0.060000  0.000000  0.000000  0.000000  
  1500  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.070000  0.000000  0.000000  0.000000  0.000000  0.060000  0.000000  0.000000  0.000000  
  1600  0.000000  0.010000  0.000000  0.000000  0.000000  0.000000  0.060000  0.000000  0.000000  0.000000  0.000000  0.070000  0.000000  0.000000  0.000000  
  1700  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.070000  0.000000  0.000000  0.000000  0.000000  0.070000  0.000000  0.000000  0.000000  
  1800  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  0.070000  0.000000  0.000000  0.000000  0.000000  0.080000  0.000000  0.000000  0.000000  
  1900  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.090000  0.000000  0.000000  0.000000  0.000000  0.070000  0.000000  0.000000  0.000000  
