# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
 100  0.000000  0.010000  0.000000  0.000000  0.000000  0.000000  0.050000  0.000000  0.000000  0.000000  0.000000  0.050000  0.000000  0.010000  0.000000  
  200  0.000000  0.000000  0.000000  0.010000  0.000000  0.000000  0.100000  0.000000  0.010000  0.000000  0.000000  0.100000  0.000000  0.000000  0.000000  
  300  0.000000  0.010000  0.000000  0.010000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  0.000000  0.150000  0.000000  0.000000  0.000000  
  400  0.000000  0.010000  0.000000  0.010000  0.000000  0.000000  0.200000  0.000000  0.000000  0.010000  0.000000  0.190000  0.000000  0.010000  0.000000  
  500  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  0.250000  0.000000  0.000000  0.000000  0.000000  0.240000  0.000000  0.000000  0.000000  
  600  0.010000  0.000000  0.010000  0.000000  0.000000  0.000000  0.300000  0.000000  0.000000  0.000000  0.000000  0.300000  0.000000  0.000000  0.010000  
  700  0.000000  0.000000  0.010000  0.010000  0.000000  0.000000  0.350000  0.000000  0.000000  0.010000  0.000000  0.330000  0.000000  0.010000  0.000000  
  800  0.000000  0.010000  0.000000  0.010000  0.000000  0.000000  0.390000  0.000000  0.010000  0.000000  0.000000  0.380000  0.000000  0.010000  0.000000  
  900  0.000000  0.010000  0.010000  0.000000  0.010000  0.000000  0.430000  0.010000  0.000000  0.000000  0.000000  0.420000  0.000000  0.000000  0.010000  
  1000  0.000000  0.010000  0.010000  0.010000  0.000000  0.000000  0.500000  0.000000  0.000000  0.000000  0.010000  0.470000  0.000000  0.000000  0.010000  
 
